,carrera,curso,universidad,ciclo,texto_limpio,tokens
19,Ingeniería Informática,fundamentos de programacion,Pontificia Universidad Catolica del Peru (PUCP),3,fundamentos programacion,"['fundamentos', 'programacion']"
20,Ingeniería Informática,calculo aplicado,Pontificia Universidad Catolica del Peru (PUCP),4,calculo aplicado,"['calculo', 'aplicado']"
21,Ingeniería Informática,fisica,Pontificia Universidad Catolica del Peru (PUCP),4,fisica,['fisica']
22,Ingeniería Informática,laboratorio de fisica,Pontificia Universidad Catolica del Peru (PUCP),4,laboratorio fisica,"['laboratorio', 'fisica']"
23,Ingeniería Informática,tecnicas de programacion,Pontificia Universidad Catolica del Peru (PUCP),4,tecnicas programacion,"['tecnicas', 'programacion']"
24,Ingeniería Informática,electivos de humanidades,Pontificia Universidad Catolica del Peru (PUCP),4,electivos humanidades,"['electivos', 'humanidades']"
25,Ingeniería Informática,electivos de teologia y religion,Pontificia Universidad Catolica del Peru (PUCP),4,electivos teologia religion,"['electivos', 'teologia', 'religion']"
26,Ingeniería Informática,calculo,Universidad Nacional Mayor de San Marcos,3,calculo,['calculo']
27,Ingeniería Informática,elementos de algebra y geometria,Universidad Nacional Mayor de San Marcos,3,elementos algebra geometria,"['elementos', 'algebra', 'geometria']"
28,Ingeniería Informática,algoritmica y fundamentos de programacion,Universidad Nacional Mayor de San Marcos,3,algoritmica fundamentos programacion,"['algoritmica', 'fundamentos', 'programacion']"
29,Ingeniería Informática,elementos de matematica discreta y computacional,Universidad Nacional Mayor de San Marcos,3,elementos matematica discreta computacional,"['elementos', 'matematica', 'discreta', 'computacional']"
30,Ingeniería Informática,ingles,Universidad Nacional Mayor de San Marcos,3,ingles,['ingles']
31,Ingeniería Informática,calculo,Universidad Nacional Mayor de San Marcos,4,calculo,['calculo']
32,Ingeniería Informática,algebra,Universidad Nacional Mayor de San Marcos,4,algebra,['algebra']
33,Ingeniería Informática,modelos matematicos de la fisica,Universidad Nacional Mayor de San Marcos,4,modelos matematicos fisica,"['modelos', 'matematicos', 'fisica']"
34,Ingeniería Informática,estructura de datos,Universidad Nacional Mayor de San Marcos,4,estructura datos,"['estructura', 'datos']"
35,Ingeniería Informática,ingles,Universidad Nacional Mayor de San Marcos,4,ingles,['ingles']
36,Ingeniería Informática,analisis real,Universidad Nacional Mayor de San Marcos,5,analisis real,"['analisis', 'real']"
37,Ingeniería Informática,ecuaciones diferenciales ordinarias,Universidad Nacional Mayor de San Marcos,5,ecuaciones diferenciales ordinarias,"['ecuaciones', 'diferenciales', 'ordinarias']"
38,Ingeniería Informática,metodos numericos y programacion,Universidad Nacional Mayor de San Marcos,5,metodos numericos programacion,"['metodos', 'numericos', 'programacion']"
39,Ingeniería Informática,ingles,Universidad Nacional Mayor de San Marcos,5,ingles,['ingles']
40,Ingeniería Informática,probabilidad e inferencia estadistica,Universidad Nacional Mayor de San Marcos,6,probabilidad inferencia estadistica,"['probabilidad', 'inferencia', 'estadistica']"
41,Ingeniería Informática,metodos numericos y programacion,Universidad Nacional Mayor de San Marcos,6,metodos numericos programacion,"['metodos', 'numericos', 'programacion']"
42,Ingeniería Informática,metodos de estudio universitario,Universidad Nacional Mayor de San Marcos,1,metodos estudio universitario,"['metodos', 'estudio', 'universitario']"
43,Ingeniería Informática,gestion personal,Universidad Nacional Mayor de San Marcos,1,gestion personal,"['gestion', 'personal']"
44,Ingeniería Informática,calculo,Universidad Nacional Mayor de San Marcos,1,calculo,['calculo']
45,Ingeniería Informática,matematica basica,Universidad Nacional Mayor de San Marcos,1,matematica basica,"['matematica', 'basica']"
46,Ingeniería Informática,biologia,Universidad Nacional Mayor de San Marcos,1,biologia,['biologia']
47,Ingeniería Informática,lenguaje,Universidad Nacional Mayor de San Marcos,1,lenguaje,['lenguaje']
48,Ingeniería Informática,electivo,Universidad Nacional Mayor de San Marcos,1,electivo,['electivo']
49,Ingeniería Informática,fundamentos de investigacion cientifica,Universidad Nacional Mayor de San Marcos,2,fundamentos investigacion cientifica,"['fundamentos', 'investigacion', 'cientifica']"
50,Ingeniería Informática,medio ambiente y desarrollo sostenible,Universidad Nacional Mayor de San Marcos,2,medio ambiente desarrollo sostenible,"['medio', 'ambiente', 'desarrollo', 'sostenible']"
51,Ingeniería Informática,realidad nacional y mundial,Universidad Nacional Mayor de San Marcos,2,realidad nacional mundial,"['realidad', 'nacional', 'mundial']"
52,Ingeniería Informática,calculo,Universidad Nacional Mayor de San Marcos,2,calculo,['calculo']
53,Ingeniería Informática,quimica inorganica y organica,Universidad Nacional Mayor de San Marcos,2,quimica inorganica organica,"['quimica', 'inorganica', 'organica']"
54,Ingeniería Informática,fisica general,Universidad Nacional Mayor de San Marcos,2,fisica general,"['fisica', 'general']"
55,Ingeniería Informática,electivo,Universidad Nacional Mayor de San Marcos,2,electivo,['electivo']
56,Ingeniería Informática,base de datos e ingenieria de software,Universidad Nacional Mayor de San Marcos,5,base datos ingenieria software,"['base', 'datos', 'ingenieria', 'software']"
57,Ingeniería Informática,analisis funcional,Universidad Nacional Mayor de San Marcos,6,analisis funcional,"['analisis', 'funcional']"
58,Ingeniería Informática,sistemas operativos,Universidad Nacional Mayor de San Marcos,6,sistemas operativos,"['sistemas', 'operativos']"
59,Ingeniería Informática,tecnicas de modelamiento,Universidad Nacional Mayor de San Marcos,6,tecnicas modelamiento,"['tecnicas', 'modelamiento']"
60,Ingeniería Informática,analisis funcional,Universidad Nacional Mayor de San Marcos,7,analisis funcional,"['analisis', 'funcional']"
61,Ingeniería Informática,computacion grafica,Universidad Nacional Mayor de San Marcos,7,computacion grafica,"['computacion', 'grafica']"
62,Ingeniería Informática,modelos matematicos de la ciencia,Universidad Nacional Mayor de San Marcos,7,modelos matematicos ciencia,"['modelos', 'matematicos', 'ciencia']"
63,Ingeniería Informática,inteligencia artificial,Universidad Nacional Mayor de San Marcos,7,inteligencia artificial,"['inteligencia', 'artificial']"
64,Ingeniería Informática,electivo,Universidad Nacional Mayor de San Marcos,7,electivo,['electivo']
65,Ingeniería Informática,ecuaciones diferenciales parciales,Universidad Nacional Mayor de San Marcos,8,ecuaciones diferenciales parciales,"['ecuaciones', 'diferenciales', 'parciales']"
66,Ingeniería Informática,modelos matematicos de la ciencia,Universidad Nacional Mayor de San Marcos,8,modelos matematicos ciencia,"['modelos', 'matematicos', 'ciencia']"
67,Ingeniería Informática,redes arquitectura y comunicaciones,Universidad Nacional Mayor de San Marcos,8,redes arquitectura comunicaciones,"['redes', 'arquitectura', 'comunicaciones']"
68,Ingeniería Informática,proyecto de investigacion,Universidad Nacional Mayor de San Marcos,8,proyecto investigacion,"['proyecto', 'investigacion']"
69,Ingeniería Informática,electivo,Universidad Nacional Mayor de San Marcos,8,electivo,['electivo']
70,Ingeniería Informática,optimizacion,Universidad Nacional Mayor de San Marcos,9,optimizacion,['optimizacion']
71,Ingeniería Informática,modelos matematicos de la ciencia,Universidad Nacional Mayor de San Marcos,9,modelos matematicos ciencia,"['modelos', 'matematicos', 'ciencia']"
72,Ingeniería Informática,metodos numericos y programacion,Universidad Nacional Mayor de San Marcos,9,metodos numericos programacion,"['metodos', 'numericos', 'programacion']"
73,Ingeniería Informática,desarrollo del proyecto de investigacion,Universidad Nacional Mayor de San Marcos,9,desarrollo proyecto investigacion,"['desarrollo', 'proyecto', 'investigacion']"
74,Ingeniería Informática,electivo,Universidad Nacional Mayor de San Marcos,9,electivo,['electivo']
75,Ingeniería Informática,modelos matematicos de la ciencia,Universidad Nacional Mayor de San Marcos,10,modelos matematicos ciencia,"['modelos', 'matematicos', 'ciencia']"
76,Ingeniería Informática,formulacion evaluacion y gestion de proyectos,Universidad Nacional Mayor de San Marcos,10,formulacion evaluacion gestion proyectos,"['formulacion', 'evaluacion', 'gestion', 'proyectos']"
77,Ingeniería Informática,practica pre profesional,Universidad Nacional Mayor de San Marcos,10,practica pre profesional,"['practica', 'pre', 'profesional']"
78,Ingeniería Informática,presentacion y sustentacion del proyecto de investigacion,Universidad Nacional Mayor de San Marcos,10,presentacion sustentacion proyecto investigacion,"['presentacion', 'sustentacion', 'proyecto', 'investigacion']"
79,Ingeniería Informática,electivo,Universidad Nacional Mayor de San Marcos,10,electivo,['electivo']
80,Ingeniería Informática,comunicacion y redaccion,Universidad Peruana Cayetano Heredia (UPCH),1,comunicacion redaccion,"['comunicacion', 'redaccion']"
81,Ingeniería Informática,calculo diferencial para ingenieria,Universidad Peruana Cayetano Heredia (UPCH),1,calculo diferencial ingenieria,"['calculo', 'diferencial', 'ingenieria']"
82,Ingeniería Informática,quimica general,Universidad Peruana Cayetano Heredia (UPCH),1,quimica general,"['quimica', 'general']"
83,Ingeniería Informática,filosofia y etica,Universidad Peruana Cayetano Heredia (UPCH),1,filosofia etica,"['filosofia', 'etica']"
84,Ingeniería Informática,desarrollo personal y autonomia,Universidad Peruana Cayetano Heredia (UPCH),1,desarrollo personal autonomia,"['desarrollo', 'personal', 'autonomia']"
85,Ingeniería Informática,introduccion a la ingenieria informatica,Universidad Peruana Cayetano Heredia (UPCH),1,introduccion ingenieria informatica,"['introduccion', 'ingenieria', 'informatica']"
86,Ingeniería Informática,ingles,Universidad Peruana Cayetano Heredia (UPCH),1,ingles,['ingles']
87,Ingeniería Informática,actividad complementaria,Universidad Peruana Cayetano Heredia (UPCH),1,actividad complementaria,"['actividad', 'complementaria']"
88,Ingeniería Informática,comunicacion y redaccion,Universidad Peruana Cayetano Heredia (UPCH),2,comunicacion redaccion,"['comunicacion', 'redaccion']"
89,Ingeniería Informática,algebra matricial y geometria analitica,Universidad Peruana Cayetano Heredia (UPCH),2,algebra matricial geometria analitica,"['algebra', 'matricial', 'geometria', 'analitica']"
90,Ingeniería Informática,fisica para ingenieria,Universidad Peruana Cayetano Heredia (UPCH),2,fisica ingenieria,"['fisica', 'ingenieria']"
91,Ingeniería Informática,fundamentos de programacion,Universidad Peruana Cayetano Heredia (UPCH),2,fundamentos programacion,"['fundamentos', 'programacion']"
92,Ingeniería Informática,ciencias sociales en el contexto actual,Universidad Peruana Cayetano Heredia (UPCH),2,ciencias sociales contexto actual,"['ciencias', 'sociales', 'contexto', 'actual']"
93,Ingeniería Informática,pensamiento cientifico e investigacion,Universidad Peruana Cayetano Heredia (UPCH),2,pensamiento cientifico investigacion,"['pensamiento', 'cientifico', 'investigacion']"
94,Ingeniería Informática,cultura ambiental y desarrollo sostenible,Universidad Peruana Cayetano Heredia (UPCH),2,cultura ambiental desarrollo sostenible,"['cultura', 'ambiental', 'desarrollo', 'sostenible']"
95,Ingeniería Informática,ingles,Universidad Peruana Cayetano Heredia (UPCH),2,ingles,['ingles']
96,Ingeniería Informática,actividad complementaria,Universidad Peruana Cayetano Heredia (UPCH),2,actividad complementaria,"['actividad', 'complementaria']"
97,Ingeniería Informática,calculo integral para ingenieria,Universidad Peruana Cayetano Heredia (UPCH),3,calculo integral ingenieria,"['calculo', 'integral', 'ingenieria']"
98,Ingeniería Informática,electronica digital y robotica,Universidad Peruana Cayetano Heredia (UPCH),3,electronica digital robotica,"['electronica', 'digital', 'robotica']"
99,Ingeniería Informática,procesos de innovacion en ingenieria,Universidad Peruana Cayetano Heredia (UPCH),3,procesos innovacion ingenieria,"['procesos', 'innovacion', 'ingenieria']"
100,Ingeniería Informática,bases de datos,Universidad Peruana Cayetano Heredia (UPCH),3,bases datos,"['bases', 'datos']"
101,Ingeniería Informática,paradigmas de lenguajes de programacion,Universidad Peruana Cayetano Heredia (UPCH),3,paradigmas lenguajes programacion,"['paradigmas', 'lenguajes', 'programacion']"
102,Ingeniería Informática,estructuras discretas,Universidad Peruana Cayetano Heredia (UPCH),3,estructuras discretas,"['estructuras', 'discretas']"
103,Ingeniería Informática,ingles,Universidad Peruana Cayetano Heredia (UPCH),3,ingles,['ingles']
104,Ingeniería Informática,actividad complementaria,Universidad Peruana Cayetano Heredia (UPCH),3,actividad complementaria,"['actividad', 'complementaria']"
105,Ingeniería Informática,calculo vectorial para ingenieria,Universidad Peruana Cayetano Heredia (UPCH),4,calculo vectorial ingenieria,"['calculo', 'vectorial', 'ingenieria']"
106,Ingeniería Informática,fundamentos de diseno,Universidad Peruana Cayetano Heredia (UPCH),4,fundamentos diseno,"['fundamentos', 'diseno']"
107,Ingeniería Informática,organizacion y arquitectura de computadores,Universidad Peruana Cayetano Heredia (UPCH),4,organizacion arquitectura computadores,"['organizacion', 'arquitectura', 'computadores']"
108,Ingeniería Informática,programacion orientada a objetos,Universidad Peruana Cayetano Heredia (UPCH),4,programacion orientada objetos,"['programacion', 'orientada', 'objetos']"
109,Ingeniería Informática,bases de datos,Universidad Peruana Cayetano Heredia (UPCH),4,bases datos,"['bases', 'datos']"
110,Ingeniería Informática,estructuras discretas,Universidad Peruana Cayetano Heredia (UPCH),4,estructuras discretas,"['estructuras', 'discretas']"
111,Ingeniería Informática,ingles,Universidad Peruana Cayetano Heredia (UPCH),4,ingles,['ingles']
112,Ingeniería Informática,actividad complementaria,Universidad Peruana Cayetano Heredia (UPCH),4,actividad complementaria,"['actividad', 'complementaria']"
113,Ingeniería Informática,estadistica y probabilidades para ingenieria,Universidad Peruana Cayetano Heredia (UPCH),5,estadistica probabilidades ingenieria,"['estadistica', 'probabilidades', 'ingenieria']"
114,Ingeniería Informática,humancentered design,Universidad Peruana Cayetano Heredia (UPCH),5,humancentered design,"['humancentered', 'design']"
115,Ingeniería Informática,programacion para ciencia de datos,Universidad Peruana Cayetano Heredia (UPCH),5,programacion ciencia datos,"['programacion', 'ciencia', 'datos']"
116,Ingeniería Informática,sistemas de informacion,Universidad Peruana Cayetano Heredia (UPCH),5,sistemas informacion,"['sistemas', 'informacion']"
117,Ingeniería Informática,algoritmos y estructura de datos,Universidad Peruana Cayetano Heredia (UPCH),5,algoritmos estructura datos,"['algoritmos', 'estructura', 'datos']"
118,Ingeniería Informática,sistemas operativos,Universidad Peruana Cayetano Heredia (UPCH),5,sistemas operativos,"['sistemas', 'operativos']"
119,Ingeniería Informática,proyecto integrador,Universidad Peruana Cayetano Heredia (UPCH),6,proyecto integrador,"['proyecto', 'integrador']"
120,Ingeniería Informática,machine learning,Universidad Peruana Cayetano Heredia (UPCH),6,machine learning,"['machine', 'learning']"
121,Ingeniería Informática,analisis y diseno de algoritmos,Universidad Peruana Cayetano Heredia (UPCH),6,analisis diseno algoritmos,"['analisis', 'diseno', 'algoritmos']"
122,Ingeniería Informática,networking cloud computing,Universidad Peruana Cayetano Heredia (UPCH),6,networking cloud computing,"['networking', 'cloud', 'computing']"
123,Ingeniería Informática,ingenieria de software,Universidad Peruana Cayetano Heredia (UPCH),6,ingenieria software,"['ingenieria', 'software']"
124,Ingeniería Informática,desarrollo profesional,Universidad Peruana Cayetano Heredia (UPCH),7,desarrollo profesional,"['desarrollo', 'profesional']"
125,Ingeniería Informática,criptografia y seguridad informatica,Universidad Peruana Cayetano Heredia (UPCH),7,criptografia seguridad informatica,"['criptografia', 'seguridad', 'informatica']"
126,Ingeniería Informática,optimization for machine learning,Universidad Peruana Cayetano Heredia (UPCH),7,optimization for machine learning,"['optimization', 'for', 'machine', 'learning']"
127,Ingeniería Informática,visualizacion de datos,Universidad Peruana Cayetano Heredia (UPCH),7,visualizacion datos,"['visualizacion', 'datos']"
128,Ingeniería Informática,tecnologias de la informacion,Universidad Peruana Cayetano Heredia (UPCH),7,tecnologias informacion,"['tecnologias', 'informacion']"
129,Ingeniería Informática,arquitectura de software,Universidad Peruana Cayetano Heredia (UPCH),7,arquitectura software,"['arquitectura', 'software']"
130,Ingeniería Informática,computacion paralela concurrente y distribuida,Universidad Peruana Cayetano Heredia (UPCH),7,computacion paralela concurrente distribuida,"['computacion', 'paralela', 'concurrente', 'distribuida']"
131,Ingeniería Informática,entrepreneurship and innovation,Universidad Peruana Cayetano Heredia (UPCH),8,entrepreneurship and innovation,"['entrepreneurship', 'and', 'innovation']"
132,Ingeniería Informática,ingenieria de requerimientos,Universidad Peruana Cayetano Heredia (UPCH),8,ingenieria requerimientos,"['ingenieria', 'requerimientos']"
133,Ingeniería Informática,artificial intelligence,Universidad Peruana Cayetano Heredia (UPCH),8,artificial intelligence,"['artificial', 'intelligence']"
134,Ingeniería Informática,gestion de proyectos de ti,Universidad Peruana Cayetano Heredia (UPCH),8,gestion proyectos,"['gestion', 'proyectos']"
135,Ingeniería Informática,desarrollo de sistemas web,Universidad Peruana Cayetano Heredia (UPCH),8,desarrollo sistemas web,"['desarrollo', 'sistemas', 'web']"
136,Ingeniería Informática,desarrollo de sistemas moviles,Universidad Peruana Cayetano Heredia (UPCH),8,desarrollo sistemas moviles,"['desarrollo', 'sistemas', 'moviles']"
137,Ingeniería Informática,asignatura electiva,Universidad Peruana Cayetano Heredia (UPCH),8,asignatura electiva,"['asignatura', 'electiva']"
138,Ingeniería Informática,asignatura electiva,Universidad Peruana Cayetano Heredia (UPCH),8,asignatura electiva,"['asignatura', 'electiva']"
139,Ingeniería Informática,informatics capstone project,Universidad Peruana Cayetano Heredia (UPCH),9,informatics capstone project,"['informatics', 'capstone', 'project']"
140,Ingeniería Informática,experiencia en ingenieria informatica,Universidad Peruana Cayetano Heredia (UPCH),9,experiencia ingenieria informatica,"['experiencia', 'ingenieria', 'informatica']"
141,Ingeniería Informática,proyecto de tesis en ingenieria informatica,Universidad Peruana Cayetano Heredia (UPCH),9,proyecto tesis ingenieria informatica,"['proyecto', 'tesis', 'ingenieria', 'informatica']"
142,Ingeniería Informática,implementacion de proyectos de ti,Universidad Peruana Cayetano Heredia (UPCH),9,implementacion proyectos,"['implementacion', 'proyectos']"
143,Ingeniería Informática,asignatura electiva,Universidad Peruana Cayetano Heredia (UPCH),9,asignatura electiva,"['asignatura', 'electiva']"
144,Ingeniería Informática,trabajo de investigacion,Universidad Peruana Cayetano Heredia (UPCH),10,trabajo investigacion,"['trabajo', 'investigacion']"
145,Ingeniería Informática,derecho y etica en la informatica,Universidad Peruana Cayetano Heredia (UPCH),10,derecho etica informatica,"['derecho', 'etica', 'informatica']"
146,Ingeniería Informática,topicos avanzados de seguridad informatica,Universidad Peruana Cayetano Heredia (UPCH),10,topicos avanzados seguridad informatica,"['topicos', 'avanzados', 'seguridad', 'informatica']"
147,Ingeniería Informática,asignatura electiva,Universidad Peruana Cayetano Heredia (UPCH),10,asignatura electiva,"['asignatura', 'electiva']"
148,Ingeniería de las Telecomunicaciones,algebra matricial y geometria analitica,Pontificia Universidad Catolica del Peru (PUCP),1,algebra matricial geometria analitica,"['algebra', 'matricial', 'geometria', 'analitica']"
149,Ingeniería de las Telecomunicaciones,comunicacion academica,Pontificia Universidad Catolica del Peru (PUCP),1,comunicacion academica,"['comunicacion', 'academica']"
150,Ingeniería de las Telecomunicaciones,fundamentos de calculo,Pontificia Universidad Catolica del Peru (PUCP),1,fundamentos calculo,"['fundamentos', 'calculo']"
151,Ingeniería de las Telecomunicaciones,fundamentos de fisica,Pontificia Universidad Catolica del Peru (PUCP),1,fundamentos fisica,"['fundamentos', 'fisica']"
152,Ingeniería de las Telecomunicaciones,quimica,Pontificia Universidad Catolica del Peru (PUCP),1,quimica,['quimica']
153,Ingeniería de las Telecomunicaciones,laboratorio de quimica,Pontificia Universidad Catolica del Peru (PUCP),1,laboratorio quimica,"['laboratorio', 'quimica']"
154,Ingeniería de las Telecomunicaciones,calculo diferencial,Pontificia Universidad Catolica del Peru (PUCP),2,calculo diferencial,"['calculo', 'diferencial']"
155,Ingeniería de las Telecomunicaciones,ciencia y filosofia,Pontificia Universidad Catolica del Peru (PUCP),2,ciencia filosofia,"['ciencia', 'filosofia']"
156,Ingeniería de las Telecomunicaciones,dibujo en ingenieria,Pontificia Universidad Catolica del Peru (PUCP),2,dibujo ingenieria,"['dibujo', 'ingenieria']"
157,Ingeniería de las Telecomunicaciones,fisica,Pontificia Universidad Catolica del Peru (PUCP),2,fisica,['fisica']
158,Ingeniería de las Telecomunicaciones,laboratorio de fisica,Pontificia Universidad Catolica del Peru (PUCP),2,laboratorio fisica,"['laboratorio', 'fisica']"
159,Ingeniería de las Telecomunicaciones,trabajo academico,Pontificia Universidad Catolica del Peru (PUCP),2,trabajo academico,"['trabajo', 'academico']"
160,Ingeniería de las Telecomunicaciones,idioma extranjero nivel basico de ingles,Pontificia Universidad Catolica del Peru (PUCP),2,idioma extranjero nivel basico ingles,"['idioma', 'extranjero', 'nivel', 'basico', 'ingles']"
161,Ingeniería de las Telecomunicaciones,electivos de humanidades,Pontificia Universidad Catolica del Peru (PUCP),2,electivos humanidades,"['electivos', 'humanidades']"
162,Ingeniería de las Telecomunicaciones,calculo integral,Pontificia Universidad Catolica del Peru (PUCP),3,calculo integral,"['calculo', 'integral']"
163,Ingeniería de las Telecomunicaciones,calculo en varias variables,Pontificia Universidad Catolica del Peru (PUCP),3,calculo varias variables,"['calculo', 'varias', 'variables']"
164,Ingeniería de las Telecomunicaciones,fisica,Pontificia Universidad Catolica del Peru (PUCP),3,fisica,['fisica']
165,Ingeniería de las Telecomunicaciones,laboratorio de fisica,Pontificia Universidad Catolica del Peru (PUCP),3,laboratorio fisica,"['laboratorio', 'fisica']"
166,Ingeniería de las Telecomunicaciones,fundamentos de programacion,Pontificia Universidad Catolica del Peru (PUCP),3,fundamentos programacion,"['fundamentos', 'programacion']"
167,Ingeniería de las Telecomunicaciones,tecnologias de la informacion y comunicaciones,Pontificia Universidad Catolica del Peru (PUCP),3,tecnologias informacion comunicaciones,"['tecnologias', 'informacion', 'comunicaciones']"
168,Ingeniería de las Telecomunicaciones,electivos de humanidades,Pontificia Universidad Catolica del Peru (PUCP),3,electivos humanidades,"['electivos', 'humanidades']"
169,Ingeniería de las Telecomunicaciones,calculo aplicado,Pontificia Universidad Catolica del Peru (PUCP),4,calculo aplicado,"['calculo', 'aplicado']"
170,Ingeniería de las Telecomunicaciones,circuitos electricos,Pontificia Universidad Catolica del Peru (PUCP),4,circuitos electricos,"['circuitos', 'electricos']"
171,Ingeniería de las Telecomunicaciones,diseno digital,Pontificia Universidad Catolica del Peru (PUCP),4,diseno digital,"['diseno', 'digital']"
172,Ingeniería de las Telecomunicaciones,fisica,Pontificia Universidad Catolica del Peru (PUCP),4,fisica,['fisica']
173,Ingeniería de las Telecomunicaciones,laboratorio de fisica,Pontificia Universidad Catolica del Peru (PUCP),4,laboratorio fisica,"['laboratorio', 'fisica']"
174,Ingeniería de las Telecomunicaciones,electivos de teologia y religion,Pontificia Universidad Catolica del Peru (PUCP),4,electivos teologia religion,"['electivos', 'teologia', 'religion']"
175,Ingeniería de las Telecomunicaciones,redaccion y tecnicas de comunicacion efectiva,Universidad Nacional Mayor de San Marcos,1,redaccion tecnicas comunicacion efectiva,"['redaccion', 'tecnicas', 'comunicacion', 'efectiva']"
176,Ingeniería de las Telecomunicaciones,metodos de estudio universitario,Universidad Nacional Mayor de San Marcos,1,metodos estudio universitario,"['metodos', 'estudio', 'universitario']"
177,Ingeniería de las Telecomunicaciones,desarrollo personal y liderazgo,Universidad Nacional Mayor de San Marcos,1,desarrollo personal liderazgo,"['desarrollo', 'personal', 'liderazgo']"
178,Ingeniería de las Telecomunicaciones,calculo,Universidad Nacional Mayor de San Marcos,1,calculo,['calculo']
179,Ingeniería de las Telecomunicaciones,biologia para ciencias e ingenieria,Universidad Nacional Mayor de San Marcos,1,biologia ciencias ingenieria,"['biologia', 'ciencias', 'ingenieria']"
180,Ingeniería de las Telecomunicaciones,algebra y geometria analitica,Universidad Nacional Mayor de San Marcos,1,algebra geometria analitica,"['algebra', 'geometria', 'analitica']"
181,Ingeniería de las Telecomunicaciones,medio ambiente y desarrollo sostenible,Universidad Nacional Mayor de San Marcos,1,medio ambiente desarrollo sostenible,"['medio', 'ambiente', 'desarrollo', 'sostenible']"
182,Ingeniería de las Telecomunicaciones,proceso cultural andino,Universidad Nacional Mayor de San Marcos,1,proceso cultural andino,"['proceso', 'cultural', 'andino']"
183,Ingeniería de las Telecomunicaciones,programacion y computacion,Universidad Nacional Mayor de San Marcos,1,programacion computacion,"['programacion', 'computacion']"
184,Ingeniería de las Telecomunicaciones,dibujo tecnico,Universidad Nacional Mayor de San Marcos,1,dibujo tecnico,"['dibujo', 'tecnico']"
185,Ingeniería de las Telecomunicaciones,ingles para escritura academica,Universidad Nacional Mayor de San Marcos,1,ingles escritura academica,"['ingles', 'escritura', 'academica']"
186,Ingeniería de las Telecomunicaciones,matlab,Universidad Nacional Mayor de San Marcos,1,matlab,['matlab']
187,Ingeniería de las Telecomunicaciones,calculos basicos en quimica,Universidad Nacional Mayor de San Marcos,1,calculos basicos quimica,"['calculos', 'basicos', 'quimica']"
188,Ingeniería de las Telecomunicaciones,seguridad e higiene en laboratorio,Universidad Nacional Mayor de San Marcos,1,seguridad higiene laboratorio,"['seguridad', 'higiene', 'laboratorio']"
189,Ingeniería de las Telecomunicaciones,fundamentos de riesgos de desastres y cambio climatico,Universidad Nacional Mayor de San Marcos,1,fundamentos riesgos desastres cambio climatico,"['fundamentos', 'riesgos', 'desastres', 'cambio', 'climatico']"
